=========================================================
             VOLCADO DE CACHÉ DE TIA PORTAL              
=========================================================
Fecha de volcado: 28/03/2026 10:49:06
PLC: ZC_PLC_STD
Total Bloques: 150 | Total Tablas: 8 | Total UDTs: 91
=========================================================

=== BLOQUES (OB/FC/FB/DB) ===
[Nombre] _borrar                             | [Num] 59998 | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB1_SYS                             | [Num] 1     | [Tipo API] GlobalDB     | [Ruta] Root
[Nombre] DB100_CPR_PRINCIPAL                 | [Num] 100   | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\100_Principal
[Nombre] DB101_CPR_PROCESO                   | [Num] 101   | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\101_Proceso
[Nombre] DB102_CPR_CHOFER                    | [Num] 102   | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\101_Proceso
[Nombre] DB103_CPR_ACUM                      | [Num] 103   | [Tipo API] GlobalDB     | [Ruta] 100_Compacto\101_Proceso
[Nombre] DB104_CPR_INF                       | [Num] 104   | [Tipo API] InstanceDB   | [Ruta] 100_Compacto\101_Proceso
[Nombre] DB11_INFORMES                       | [Num] 11    | [Tipo API] GlobalDB     | [Ruta] 11_Informes
[Nombre] DB15_SINCRONIZAR_FECHA              | [Num] 20    | [Tipo API] GlobalDB     | [Ruta] 20_Scada
[Nombre] DB16_GESTION_SCADA                  | [Num] 21    | [Tipo API] GlobalDB     | [Ruta] 20_Scada
[Nombre] DB2_DeviceState_PN                  | [Num] 2     | [Tipo API] GlobalDB     | [Ruta] 0_Sistema
[Nombre] DB2000_ED                           | [Num] 2000  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2001_EA                           | [Num] 2001  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2005_SD                           | [Num] 2005  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2006_SA                           | [Num] 2006  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2010_V                            | [Num] 2010  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2015_M                            | [Num] 2015  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
[Nombre] DB2016_M_VF                         | [Num] 2016  | [Tipo API] GlobalDB     | [Ruta] 2000_Dispositivos
